timestamp,orig_cadence,frac,cadence_raw,cadence_spm,enhanced_speed,heart_rate,step_length
2026-07-01 06:24:03+00:00,86,0.0,86.0,172.0,2.799,72,0.98
2026-07-01 06:24:04+00:00,86,0.0,86.0,172.0,2.874,72,1.0
2026-07-01 06:24:05+00:00,87,0.5,87.5,175.0,2.333,74,0.8
2026-07-01 06:24:06+00:00,87,0.5,87.5,175.0,2.333,75,0.8
2026-07-01 06:24:07+00:00,85,0.0,85.0,170.0,2.519,76,0.87
2026-07-01 06:24:08+00:00,85,0.0,85.0,170.0,2.519,77,0.89
2026-07-01 06:24:09+00:00,84,0.5,84.5,169.0,2.51,79,0.89
2026-07-01 06:24:10+00:00,84,0.5,84.5,169.0,2.351,80,0.84
2026-07-01 06:24:11+00:00,84,0.0,84.0,168.0,2.351,79,0.84
2026-07-01 06:24:12+00:00,84,0.0,84.0,168.0,2.379,79,0.85
2026-07-01 06:24:13+00:00,84,0.0,84.0,168.0,2.501,80,0.89
2026-07-01 06:24:14+00:00,84,0.5,84.5,169.0,2.501,80,0.89
2026-07-01 06:24:15+00:00,84,0.5,84.5,169.0,2.51,81,0.9
2026-07-01 06:24:16+00:00,84,0.5,84.5,169.0,2.473,82,0.88
2026-07-01 06:24:17+00:00,85,0.0,85.0,170.0,2.491,83,0.88
2026-07-01 06:24:18+00:00,85,0.0,85.0,170.0,2.491,84,0.88
2026-07-01 06:24:19+00:00,84,0.5,84.5,169.0,2.51,85,0.89
2026-07-01 06:24:20+00:00,83,0.5,83.5,167.0,2.519,86,0.91
2026-07-01 06:24:21+00:00,83,0.5,83.5,167.0,2.519,86,0.91
2026-07-01 06:24:22+00:00,83,0.5,83.5,167.0,2.51,87,0.91
2026-07-01 06:24:23+00:00,84,0.5,84.5,169.0,2.463,88,0.88
2026-07-01 06:24:24+00:00,84,0.5,84.5,169.0,2.463,89,0.88
2026-07-01 06:24:25+00:00,84,0.0,84.0,168.0,2.463,89,0.88
2026-07-01 06:24:26+00:00,84,0.0,84.0,168.0,2.501,90,0.89
2026-07-01 06:24:27+00:00,84,0.0,84.0,168.0,2.501,91,0.89
2026-07-01 06:24:28+00:00,84,0.5,84.5,169.0,2.529,91,0.9
2026-07-01 06:24:29+00:00,85,0.0,85.0,170.0,2.547,92,0.9
2026-07-01 06:24:30+00:00,85,0.0,85.0,170.0,2.594,93,0.92
2026-07-01 06:24:31+00:00,85,0.0,85.0,170.0,2.594,94,0.92
2026-07-01 06:24:32+00:00,85,0.0,85.0,170.0,2.557,94,0.9
2026-07-01 06:24:33+00:00,85,0.0,85.0,170.0,2.529,95,0.89
2026-07-01 06:24:34+00:00,83,0.0,83.0,166.0,2.379,95,0.85
2026-07-01 06:24:35+00:00,83,0.0,83.0,166.0,2.379,96,0.86
2026-07-01 06:24:36+00:00,83,0.5,83.5,167.0,2.351,96,0.85
2026-07-01 06:24:37+00:00,83,0.5,83.5,167.0,2.342,97,0.85
2026-07-01 06:24:38+00:00,83,0.5,83.5,167.0,2.333,97,0.84
2026-07-01 06:24:39+00:00,83,0.0,83.0,166.0,2.342,98,0.85
2026-07-01 06:24:40+00:00,83,0.5,83.5,167.0,2.351,98,0.85
2026-07-01 06:24:41+00:00,83,0.5,83.5,167.0,2.351,98,0.85
2026-07-01 06:24:42+00:00,83,0.5,83.5,167.0,2.351,99,0.85
2026-07-01 06:24:43+00:00,83,0.5,83.5,167.0,2.361,99,0.85
2026-07-01 06:24:44+00:00,83,0.5,83.5,167.0,2.37,100,0.86
2026-07-01 06:24:45+00:00,83,0.5,83.5,167.0,2.37,100,0.86
2026-07-01 06:24:46+00:00,83,0.5,83.5,167.0,2.37,101,0.86
2026-07-01 06:24:47+00:00,84,0.0,84.0,168.0,2.379,101,0.86
2026-07-01 06:24:48+00:00,84,0.0,84.0,168.0,2.379,102,0.85
2026-07-01 06:24:49+00:00,84,0.0,84.0,168.0,2.389,102,0.85
2026-07-01 06:24:50+00:00,84,0.5,84.5,169.0,2.407,103,0.86
2026-07-01 06:24:51+00:00,84,0.5,84.5,169.0,2.407,104,0.86
2026-07-01 06:24:52+00:00,84,0.0,84.0,168.0,2.407,105,0.86
2026-07-01 06:24:53+00:00,84,0.0,84.0,168.0,2.407,105,0.86
2026-07-01 06:24:54+00:00,83,0.5,83.5,167.0,2.417,106,0.87
2026-07-01 06:24:55+00:00,83,0.5,83.5,167.0,2.417,106,0.87
2026-07-01 06:24:56+00:00,83,0.5,83.5,167.0,2.417,107,0.87
2026-07-01 06:24:57+00:00,83,0.5,83.5,167.0,2.426,107,0.88
2026-07-01 06:24:58+00:00,84,0.0,84.0,168.0,2.435,108,0.88
2026-07-01 06:24:59+00:00,84,0.0,84.0,168.0,2.445,108,0.87
2026-07-01 06:25:00+00:00,84,0.5,84.5,169.0,2.445,108,0.87
2026-07-01 06:25:01+00:00,84,0.0,84.0,168.0,2.445,109,0.87
2026-07-01 06:25:02+00:00,84,0.0,84.0,168.0,2.435,109,0.87
2026-07-01 06:25:03+00:00,83,0.5,83.5,167.0,2.435,109,0.87
2026-07-01 06:25:04+00:00,83,0.5,83.5,167.0,2.435,110,0.88
2026-07-01 06:25:05+00:00,83,0.5,83.5,167.0,2.435,110,0.88
2026-07-01 06:25:06+00:00,83,0.5,83.5,167.0,2.435,110,0.88
2026-07-01 06:25:07+00:00,82,0.5,82.5,165.0,2.426,110,0.89
2026-07-01 06:25:08+00:00,81,0.5,81.5,163.0,2.426,110,0.89
2026-07-01 06:25:09+00:00,81,0.5,81.5,163.0,2.426,110,0.89
2026-07-01 06:25:10+00:00,81,0.5,81.5,163.0,2.417,111,0.88
2026-07-01 06:25:11+00:00,82,0.5,82.5,165.0,2.417,110,0.88
2026-07-01 06:25:12+00:00,82,0.5,82.5,165.0,2.417,110,0.88
2026-07-01 06:25:13+00:00,81,0.5,81.5,163.0,2.417,111,0.88
2026-07-01 06:25:14+00:00,81,0.5,81.5,163.0,2.426,111,0.89
2026-07-01 06:25:15+00:00,81,0.5,81.5,163.0,2.426,111,0.89
2026-07-01 06:25:16+00:00,81,0.5,81.5,163.0,2.426,111,0.9
2026-07-01 06:25:17+00:00,81,0.5,81.5,163.0,2.426,111,0.9
2026-07-01 06:25:18+00:00,80,0.5,80.5,161.0,2.426,112,0.91
2026-07-01 06:25:19+00:00,80,0.5,80.5,161.0,2.426,112,0.91
2026-07-01 06:25:20+00:00,80,0.5,80.5,161.0,2.426,112,0.91
2026-07-01 06:25:21+00:00,80,0.5,80.5,161.0,2.426,112,0.91
2026-07-01 06:25:22+00:00,80,0.5,80.5,161.0,2.426,111,0.91
2026-07-01 06:25:23+00:00,80,0.5,80.5,161.0,2.426,112,0.91
2026-07-01 06:25:24+00:00,80,0.5,80.5,161.0,2.407,112,0.9
2026-07-01 06:25:25+00:00,79,0.5,79.5,159.0,2.398,112,0.9
2026-07-01 06:25:26+00:00,79,0.5,79.5,159.0,2.398,112,0.91
2026-07-01 06:25:27+00:00,79,0.5,79.5,159.0,2.389,112,0.91
2026-07-01 06:25:28+00:00,78,0.5,78.5,157.0,2.37,113,0.9
2026-07-01 06:25:29+00:00,77,0.5,77.5,155.0,2.37,113,0.91
2026-07-01 06:25:30+00:00,77,0.5,77.5,155.0,2.37,113,0.91
2026-07-01 06:25:31+00:00,77,0.5,77.5,155.0,2.37,113,0.91
2026-07-01 06:25:32+00:00,78,0.5,78.5,157.0,2.37,113,0.9
2026-07-01 06:25:33+00:00,79,0.5,79.5,159.0,2.37,114,0.9
2026-07-01 06:25:34+00:00,79,0.5,79.5,159.0,2.361,114,0.9
2026-07-01 06:25:35+00:00,79,0.5,79.5,159.0,2.361,114,0.9
2026-07-01 06:25:36+00:00,79,0.5,79.5,159.0,2.361,114,0.9
2026-07-01 06:25:37+00:00,79,0.5,79.5,159.0,2.361,114,0.9
2026-07-01 06:25:38+00:00,79,0.5,79.5,159.0,2.351,115,0.89
2026-07-01 06:25:39+00:00,79,0.5,79.5,159.0,2.342,114,0.89
2026-07-01 06:25:40+00:00,79,0.5,79.5,159.0,2.342,114,0.89
2026-07-01 06:25:41+00:00,79,0.5,79.5,159.0,2.342,115,0.89
2026-07-01 06:25:42+00:00,79,0.5,79.5,159.0,2.351,114,0.89
2026-07-01 06:25:43+00:00,79,0.5,79.5,159.0,2.351,114,0.89
2026-07-01 06:25:44+00:00,79,0.5,79.5,159.0,2.342,115,0.89
2026-07-01 06:25:45+00:00,80,0.0,80.0,160.0,2.333,114,0.89
2026-07-01 06:25:46+00:00,80,0.5,80.5,161.0,2.323,114,0.87
2026-07-01 06:25:47+00:00,80,0.5,80.5,161.0,2.314,115,0.87
