"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1","1:00","1:00","0.14","7:06","7:12","93","102","0","0","142","297","0.91","8.7","9.6","260","233","3.03","313","4.06","8","6:02","167","0:57","6:44"
"","","Warm Up","2","1:00","2:00","0.16","6:15","6:41","107","111","0","0","166","283","0.90","8.4","9.4","265","274","3.56","290","3.77","11","6:16","171","1:00","6:15"
"","","Warm Up","3","1:00","3:00","0.12","8:14","7:47","105","111","0","0","151","320","0.85","8.5","10.0","251","235","3.05","288","3.74","9","6:17","169","0:59","8:06"
"","1","Run","4","5:00","8:00","0.83","5:59","6:02","115","120","1","1","165","276","1.01","8.9","8.9","305","308","4.00","341","4.43","56","5:31","174","4:58","5:57"
"","2","Run","5","3:00","11:00","0.52","5:48","5:49","121","124","0","0","162","278","1.06","9.3","8.8","318","317","4.12","332","4.31","34","5:45","167","2:59","5:46"
"","","Recovery","6","3:00","14:00","0.39","7:37","7:39","107","121","1","0","148","325","0.88","8.8","10.0","250","242","3.14","319","4.14","29","5:46","161","2:59","7:34"
"","3","Run","7","5:00","19:00","0.83","6:03","6:02","119","123","1","1","162","281","1.03","9.2","8.9","310","312","4.05","347","4.51","56","5:36","172","4:59","6:02"
"","4","Run","8","3:00","22:00","0.51","5:53","5:55","122","123","0","0","165","276","1.03","9.1","8.8","304","304","3.95","317","4.12","33","5:39","169","2:59","5:52"
"","","Recovery","9","3:00","25:00","0.38","7:48","7:57","110","124","0","1","147","333","0.86","8.6","10.0","242","234","3.04","338","4.39","27","5:51","167","2:59","7:45"
"","5","Run","10","5:00","30:00","0.79","6:19","6:16","122","127","0","0","161","286","1.00","9.1","9.1","298","298","3.87","329","4.27","56","5:41","168","4:59","6:17"
"","6","Run","11","3:00","33:00","0.48","6:11","6:15","124","131","0","0","160","288","1.00","9.2","9.1","292","294","3.82","321","4.17","33","5:45","167","2:59","6:09"
"","","Recovery","12 - 13","3:06.7","36:07","0.47","6:34","6:32","121","129","7","8","157","297","0.97","9.1","9.4","293","289","3.75","388","5.04","34","6:00","165","3:06.7","6:34"
"","","Recovery","12","3:00","36:00","0.46","6:35","6:32","121","129","7","7","157","297","0.97","9.1","9.4","293","289","3.75","388","5.04","32","6:00","165","3:00","6:35"
"","","Recovery","13","0:06.7","36:07","0.02","6:16","6:26","120","121","0","1","153","301","1.01","9.5","9.3","288","292","3.79","297","3.86","1","6:20","155","0:06.7","6:16"
"","Summary","--","--","36:07","36:07","5.64","6:24","6:25","117","131","11","12","159","292","0.98","9.0","9.2","293","288","3.74","388","5.04","384","5:31","174","36:05","6:24"
