"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1","1:00","1:00","0.11","8:54","8:25","86","101","0","0","181","275","0.66","6.6","10.2","225","224","2.91","310","4.03","6","6:16","205","0:58","8:36"
"","","Warm Up","2","1:00","2:00","0.11","9:03","9:35","112","119","0","0","173","289","0.60","6.7","11.1","199","200","2.60","206","2.68","7","9:24","178","1:00","9:04"
"","","Warm Up","3","1:00","3:00","0.12","8:15","8:54","118","120","0","0","170","291","0.66","7.1","10.7","205","211","2.74","237","3.08","8","7:54","174","0:59","8:07"
"","","Warm Up","4","1:00","4:00","0.17","5:55","6:11","129","139","0","0","174","266","0.93","8.1","8.8","280","297","3.86","314","4.08","12","5:51","177","0:59","5:49"
"","1","Run","5","4:00","8:00","0.68","5:51","5:44","149","153","2","2","169","267","1.03","8.8","8.6","316","315","4.09","343","4.45","53","5:33","175","3:58","5:48"
"","2","Run","6","2:00","10:00","0.35","5:44","5:39","143","144","0","0","168","269","1.05","9.0","8.6","319","321","4.17","328","4.26","26","5:34","171","1:59","5:41"
"","","Recovery","7","3:00","13:00","0.36","8:22","8:27","129","143","1","0","164","298","0.72","7.6","10.6","240","224","2.91","317","4.12","27","5:54","173","2:59","8:19"
"","3","Run","8","4:00","17:00","0.65","6:10","6:15","136","141","0","1","173","267","0.93","8.1","8.8","288","290","3.77","327","4.25","50","5:42","182","3:59","6:08"
"","4","Run","9","2:00","19:00","0.36","5:37","5:39","144","146","0","0","170","265","1.05","8.9","8.5","313","316","4.10","329","4.27","26","5:33","174","1:59","5:35"
"","","Recovery","10","3:00","22:00","0.36","8:23","8:15","137","150","1","0","162","299","0.74","7.8","10.5","246","229","2.97","341","4.43","29","5:34","171","2:59","8:20"
"","5","Run","11","4:00","26:00","0.66","6:02","6:03","145","150","1","0","170","270","0.98","8.6","8.8","298","301","3.91","347","4.51","53","5:38","181","3:59","6:00"
"","6","Run","12","2:00","28:00","0.35","5:44","5:44","152","155","0","1","168","269","1.04","9.0","8.6","311","313","4.06","322","4.18","26","5:38","171","1:59","5:42"
"","","Recovery","13","3:00","31:00","0.37","8:03","7:55","144","156","0","0","161","299","0.78","8.0","10.3","248","237","3.08","314","4.08","31","5:44","167","2:59","8:01"
"","7","Run","14","4:00","35:00","0.63","6:20","6:24","150","154","2","1","168","276","0.93","8.5","9.1","286","287","3.73","335","4.35","51","5:57","178","3:59","6:19"
"","8","Run","15","2:00","37:00","0.35","5:42","5:46","158","162","0","0","169","267","1.03","8.8","8.6","307","312","4.05","330","4.29","27","5:29","174","1:59","5:39"
"","","Recovery","16 - 17","5:49.5","42:50","0.55","10:32","10:16","141","161","0","2","117","295","0.85","7.5","8.9","225","165","2.14","336","4.36","52","5:40","172","4:45","8:35"
"","","Recovery","16","3:00","40:00","0.39","7:40","7:34","152","161","0","1","162","296","0.82","8.2","10.0","257","246","3.19","319","4.14","33","5:40","172","3:00","7:40"
"","","Recovery","17","2:49.5","42:50","0.16","17:29","16:27","129","150","0","1","69","281","0.91","6.3","7.1","162","80","1.04","336","4.36","19","5:49","172","1:44","10:44"
"","Summary","--","--","42:50","42:50","6.19","6:55","6:55","140","162","8","7","161","279","0.90","8.2","9.3","280","263","3.42","347","4.51","483","5:29","205","41:43","6:45"
