accumulated_power,activity_type,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,power,stance_time,stance_time_balance,stance_time_percent,step_length,timestamp,unknown_107,unknown_134,unknown_135,unknown_136,unknown_140,unknown_143,unknown_90,vertical_oscillation,vertical_ratio
91,running,48,357.89,2.06,51.200000000000045,1.278,0.5,61,603921825,-40548166,91,,,,798.0,2026-06-16 07:11:40+00:00,0,,31,61,1326,89,,57.6,7.21
188,running,48,349.51,3.52,51.200000000000045,1.334,0.5,60,603921866,-40548382,97,,,,833.0,2026-06-16 07:11:41+00:00,1,,33,60,1384,89,,58.1,6.97
296,running,48,282.77,5.09,51.200000000000045,1.596,0.0,61,603921859,-40548664,108,,,,997.0,2026-06-16 07:11:42+00:00,1,,36,61,1655,89,,60.2,6.04
296,running,0,245.72,6.63,51.200000000000045,1.633,0.0,62,603921832,-40548945,0,,,,,2026-06-16 07:11:43+00:00,1,,37,62,1693,89,,,
296,running,0,99.82,8.63,51.0,1.596,0.0,63,603921798,-40549256,0,,,,,2026-06-16 07:11:44+00:00,1,,37,63,1655,89,,,
296,running,0,90.26,10.63,51.0,1.633,0.0,64,603921770,-40549590,0,,,,,2026-06-16 07:11:45+00:00,1,,36,64,1693,89,,,
518,running,75,74.61,12.18,50.799999999999955,1.913,0.0,65,603921717,-40549850,222,325.0,,,765.0,2026-06-16 07:11:46+00:00,1,,38,65,1984,89,,81.4,10.64
739,running,75,58.77,13.86,50.799999999999955,1.913,0.0,66,603921602,-40550072,221,325.0,,,765.0,2026-06-16 07:11:47+00:00,1,,41,66,1976,89,,81.4,10.64
937,running,75,53.95,16.07,50.799999999999955,1.736,0.0,67,603921576,-40550510,198,329.0,,,694.0,2026-06-16 07:11:48+00:00,1,,44,67,1793,89,,77.1,11.11
1134,running,75,44.49,17.92,50.799999999999955,1.736,0.0,68,603921486,-40550763,197,329.0,,,694.0,2026-06-16 07:11:49+00:00,1,,46,68,1793,89,,77.1,11.11
1347,running,75,44.32,19.61,51.0,1.922,0.0,69,603921403,-40551021,213,325.0,,,768.0,2026-06-16 07:11:50+00:00,1,,49,69,1985,89,,81.6,10.61
1560,running,77,39.77,21.43,51.0,1.922,0.0,70,603921330,-40551294,213,316.0,,,748.0,2026-06-16 07:11:51+00:00,1,,51,70,1985,89,,79.8,10.66
1770,running,79,0.0,23.06,51.0,1.847,0.5,71,603921265,-40551554,210,305.0,,,692.0,2026-06-16 07:11:52+00:00,1,,52,71,1908,89,,75.7,10.93
